ticker,sector,source,sections_found,call_date,event_date,ew_risk_score,hedge_density,neg_sentiment,backward_ratio,sentiment_trajectory,actual_1d,actual_3d,actual_5d,signal,correct_1d,correct_3d,correct_5d
JNJ,Healthcare,edgar,False,2025-07-16,2025-07-16,42.2,0.5687,0.1333,0.4516,0.2364,0.061932,0.054972,0.082232,NEUTRAL,,,
JNJ,Healthcare,edgar,False,2025-09-09,2025-09-09,24.09,0.8696,0.0,0.5,0.1196,-0.006568,0.002077,-0.004098,NEUTRAL,,,
JNJ,Healthcare,edgar,False,2025-10-14,2025-10-14,43.76,0.5758,0.1395,0.4667,0.2079,-0.000262,0.006391,0.014772,NEUTRAL,,,
JNJ,Healthcare,edgar,False,2026-01-21,2026-01-21,42.15,0.5119,0.1304,0.5,0.2064,-0.000917,0.008845,0.02855,NEUTRAL,,,
JPM,Financials,edgar,False,2025-07-15,2025-07-15,15.94,0.2252,0.0263,0.3333,0.0387,-0.007447,0.004157,0.007863,POSITIVE,False,True,True
JPM,Financials,edgar,False,2025-10-14,2025-10-14,9.14,0.1996,0.0132,0.1667,0.1746,-0.019125,-0.03062,-0.018216,POSITIVE,False,False,False
JPM,Financials,edgar,False,2026-01-13,2026-01-13,28.29,0.1794,0.0686,0.5556,0.2073,-0.041881,-0.046935,-0.067028,NEUTRAL,,,
JPM,Financials,edgar,False,2026-02-23,2026-02-23,0.0,0.0,0.0,0.0,-0.0118,-0.042215,-0.0241,-0.033753,POSITIVE,False,False,False
LLY,Healthcare,edgar,False,2025-01-14,2025-01-14,47.49,2.0649,0.0811,0.2308,0.3283,-0.06592,-0.050008,-0.06913,NEUTRAL,,,
LLY,Healthcare,edgar,False,2025-02-06,2025-02-06,49.66,0.6452,0.1356,0.6929,0.3979,0.033473,0.031703,0.03656,NEUTRAL,,,
LLY,Healthcare,edgar,False,2025-05-01,2025-05-01,42.49,0.7514,0.0865,0.6935,0.4168,-0.116636,-0.086201,-0.13597,NEUTRAL,,,
LLY,Healthcare,edgar,False,2025-08-07,2025-08-07,40.75,0.7367,0.0882,0.6198,0.4022,-0.141364,-0.148921,-0.115064,NEUTRAL,,,
LLY,Healthcare,edgar,False,2025-10-30,2025-10-30,52.26,0.6858,0.1515,0.6642,0.3638,0.038069,0.102025,0.138016,NEGATIVE,False,False,False
LLY,Healthcare,edgar,False,2026-02-04,2026-02-04,44.59,0.7228,0.1111,0.6204,0.3545,0.103303,0.054531,0.021466,NEUTRAL,,,
